"token_id" "token" "lemma" "pos" "entity"
"117" " " " " "_SP" "No entity"
"118" "Specific" "specific" "JJ" "No entity"
"119" "docking" "docking" "NN" "No entity"
"120" "interactions" "interaction" "NNS" "No entity"
"121" "between" "between" "IN" "No entity"
"122" "MAPKs" "mapk" "NNS" "No entity"
"123" "and" "and" "CC" "No entity"
"124" "their" "-PRON-" "PRP$" "No entity"
"125" "activating" "activate" "VBG" "No entity"
"126" "MAPK" "MAPK" "NNP" "PERSON"
"127" "kinases" "kinase" "NNS" "No entity"
"128" "(" "(" "-LRB-" "No entity"
"129" "MKKs" "mkk" "NNS" "No entity"
"130" "or" "or" "CC" "No entity"
"131" "MEKs" "MEKs" "NNP" "No entity"
"132" ")" ")" "-RRB-" "No entity"
"133" "are" "be" "VBP" "No entity"
"134" "crucial" "crucial" "JJ" "No entity"
"135" "for" "for" "IN" "No entity"
"136" "efficient" "efficient" "JJ" "No entity"
"137" "and" "and" "CC" "No entity"
"138" "accurate" "accurate" "JJ" "No entity"
"139" "signal" "signal" "NN" "No entity"
"140" "." "." "." "No entity"
"141" " " " " "_SP" "No entity"
"142" "During" "during" "IN" "No entity"
"143" "signal" "signal" "JJ" "No entity"
"144" "transduction" "transduction" "NN" "No entity"
"145" "," "," "," "No entity"
"146" "Ras" "Ras" "NNP" "PERSON"
"147" "is" "be" "VBZ" "No entity"
"148" "transiently" "transiently" "RB" "No entity"
"149" "activated" "activate" "VBN" "No entity"
"150" "by" "by" "IN" "No entity"
"151" "GTP" "GTP" "NNP" "ORG"
"152" "binding" "bind" "VBG" "No entity"
"153" "and" "and" "CC" "No entity"
"154" "interacts" "interact" "VBZ" "No entity"
"155" "with" "with" "IN" "No entity"
"156" "effector" "effector" "NN" "No entity"
"157" "proteins" "protein" "NNS" "No entity"
"158" "such" "such" "JJ" "No entity"
"159" "as" "as" "IN" "No entity"
"160" "Raf" "Raf" "NNP" "PRODUCT"
"161" "kinase" "kinase" "NN" "No entity"
"162" "." "." "." "No entity"
"163" " " " " "_SP" "No entity"
"164" "Raf" "Raf" "NNP" "PRODUCT"
"165" "(" "(" "-LRB-" "No entity"
"166" "MAPKK" "mapkk" "NN" "ORG"
"167" "kinase" "kinase" "NN" "No entity"
"168" "," "," "," "No entity"
"169" "MAPKKK" "MAPKKK" "NNP" "ORG"
"170" ")" ")" "-RRB-" "No entity"
"171" "relays" "relay" "VBZ" "No entity"
"172" "the" "the" "DT" "No entity"
"173" "extracellular" "extracellular" "JJ" "No entity"
"174" "signal" "signal" "NN" "No entity"
"175" "from" "from" "IN" "No entity"
"176" "the" "the" "DT" "No entity"
"177" "receptor" "receptor" "NN" "No entity"
"178" "/" "/" "SYM" "No entity"
"179" "Ras" "Ras" "NNP" "PERSON"
"180" "complex" "complex" "JJ" "No entity"
"181" "to" "to" "IN" "No entity"
"182" "a" "a" "DT" "No entity"
"183" "cascade" "cascade" "NN" "No entity"
"184" "of" "of" "IN" "No entity"
"185" "cytosolic" "cytosolic" "JJ" "No entity"
"186" "kinases" "kinase" "NNS" "No entity"
"187" "by" "by" "IN" "No entity"
"188" "phosphorylating" "phosphorylate" "VBG" "No entity"
"189" "and" "and" "CC" "No entity"
"190" "activating" "activate" "VBG" "No entity"
"191" "MAPK" "MAPK" "NNP" "PERSON"
"192" "/" "/" "SYM" "No entity"
"193" "ERK" "ERK" "NNP" "ORG"
"194" "kinase" "kinase" "NN" "No entity"
"195" "(" "(" "-LRB-" "No entity"
"196" "MEK" "MEK" "NNP" "ORG"
"197" ";" ";" ":" "No entity"
"198" "MAPK" "MAPK" "NNP" "PERSON"
"199" "kinase" "kinase" "NN" "No entity"
"200" "," "," "," "No entity"
"201" "MAPKK" "mapkk" "NN" "ORG"
"202" ")" ")" "-RRB-" "No entity"
"203" "that" "that" "WDT" "No entity"
"204" "phosphorylates" "phosphorylate" "VBZ" "No entity"
"205" "and" "and" "CC" "No entity"
"206" "activates" "activate" "VBZ" "No entity"
"207" "extracellular" "extracellular" "JJ" "No entity"
"208" "signal" "signal" "NN" "No entity"
"209" "regulated" "regulate" "VBN" "No entity"
"210" "kinase" "kinase" "NN" "No entity"
"211" "(" "(" "-LRB-" "No entity"
"212" "ERK" "ERK" "NNP" "ORG"
"213" ";" ";" ":" "No entity"
"214" "mitogen" "mitogen" "NN" "No entity"
"215" "-" "-" "HYPH" "No entity"
"216" "activated" "activate" "VBN" "No entity"
"217" "protein" "protein" "NN" "No entity"
"218" "kinase" "kinase" "NN" "No entity"
"219" "," "," "," "No entity"
"220" "MAPK" "MAPK" "NNP" "PERSON"
"221" ")" ")" "-RRB-" "No entity"
"222" "," "," "," "No entity"
"223" "which" "which" "WDT" "No entity"
"224" "phosphorylates" "phosphorylate" "VBZ" "No entity"
"225" "various" "various" "JJ" "No entity"
"226" "cytoplasmic" "cytoplasmic" "JJ" "No entity"
"227" "and" "and" "CC" "No entity"
"228" "nuclear" "nuclear" "JJ" "No entity"
"229" "proteins" "protein" "NNS" "No entity"
"230" "." "." "." "No entity"
"231" " " " " "_SP" "No entity"
"232" "CST5" "CST5" "NNP" "No entity"
"233" "is" "be" "VBZ" "No entity"
"234" "essential" "essential" "JJ" "No entity"
"235" "for" "for" "IN" "No entity"
"236" "mating" "mating" "NN" "No entity"
"237" "and" "and" "CC" "No entity"
"238" "still" "still" "RB" "No entity"
"239" "coordinates" "coordinate" "VBZ" "No entity"
"240" "the" "the" "DT" "No entity"
"241" "mitogen" "mitogen" "NN" "No entity"
"242" "-" "-" "HYPH" "No entity"
"243" "activated" "activate" "VBN" "No entity"
"244" "protein" "protein" "NN" "No entity"
"245" "(" "(" "-LRB-" "No entity"
"246" "MAP" "MAP" "NNP" "ORG"
"247" ")" ")" "-RRB-" "No entity"
"248" "kinase" "kinase" "NN" "No entity"
"249" "(" "(" "-LRB-" "No entity"
"250" "MAPK" "MAPK" "NNP" "PERSON"
"251" ")" ")" "-RRB-" "No entity"
"252" "cascade" "cascade" "NNP" "No entity"
"253" "elements" "element" "NNS" "No entity"
"254" "in" "in" "IN" "No entity"
"255" "the" "the" "DT" "No entity"
"256" "absence" "absence" "NN" "No entity"
"257" "of" "of" "IN" "No entity"
"258" "the" "the" "DT" "No entity"
"259" "vWA" "vwa" "NN" "CARDINAL"
"260" "domain" "domain" "NN" "No entity"
"261" ";" ";" ":" "No entity"
"262" "Cst5p" "Cst5p" "NNP" "No entity"
"263" "interacts" "interact" "VBZ" "No entity"
"264" "with" "with" "IN" "No entity"
"265" "the" "the" "DT" "No entity"
"266" "MEK" "MEK" "NNP" "ORG"
"267" "kinase" "kinase" "NN" "No entity"
"268" "(" "(" "-LRB-" "No entity"
"269" "MEKK" "MEKK" "NNP" "No entity"
"270" ")" ")" "-RRB-" "No entity"
"271" "C." "C." "NNP" "No entity"
"272" " " " " "_SP" "No entity"
"273" "Accordingly" "accordingly" "RB" "No entity"
"274" "," "," "," "No entity"
"275" "this" "this" "DT" "No entity"
"276" "study" "study" "NN" "No entity"
"277" "carried" "carry" "VBD" "No entity"
"278" "out" "out" "RP" "No entity"
"279" "mutation" "mutation" "NN" "No entity"
"280" "analysis" "analysis" "NN" "No entity"
"281" "of" "of" "IN" "No entity"
"282" "nine" "nine" "CD" "CARDINAL"
"283" "genes" "gene" "NNS" "No entity"
"284" "including" "include" "VBG" "No entity"
"285" "PTPN11" "PTPN11" "NNP" "No entity"
"286" "," "," "," "No entity"
"287" "SOS1" "SOS1" "NNP" "No entity"
"288" "," "," "," "No entity"
"289" "GRB2" "GRB2" "NNP" "No entity"
"290" "," "," "," "No entity"
"291" "KRAS" "KRAS" "NNP" "ORG"
"292" "," "," "," "No entity"
"293" "HRAS" "HRAS" "NNP" "ORG"
"294" "," "," "," "No entity"
"295" "NRAS" "NRAS" "NNP" "ORG"
"296" "," "," "," "No entity"
"297" "BRAF" "BRAF" "NNP" "ORG"
"298" "," "," "," "No entity"
"299" "MEK1" "MEK1" "NNP" "No entity"
"300" "," "," "," "No entity"
"301" "and" "and" "CC" "No entity"
"302" "MEK2" "MEK2" "NNP" "No entity"
"303" "associated" "associate" "VBD" "No entity"
"304" "with" "with" "IN" "No entity"
"305" "the" "the" "DT" "No entity"
"306" "Ras" "Ras" "NNP" "PERSON"
"307" "-" "-" "HYPH" "No entity"
"308" "MAPK" "MAPK" "NNP" "PERSON"
"309" "pathway" "pathway" "NN" "No entity"
"310" "in" "in" "IN" "No entity"
"311" "14" "14" "CD" "CARDINAL"
"312" "Korean" "korean" "JJ" "NORP"
"313" "patients" "patient" "NNS" "No entity"
"314" "with" "with" "IN" "No entity"
"315" "NS" "NS" "NNP" "No entity"
"316" "." "." "." "No entity"
"317" " " " " "_SP" "No entity"
"318" "Son" "Son" "NNP" "No entity"
"319" "of" "of" "IN" "No entity"
"320" "sevenless" "sevenless" "NNP" "No entity"
"321" "(" "(" "-LRB-" "No entity"
"322" "SOS" "SOS" "NNP" "ORG"
"323" ")" ")" "-RRB-" "No entity"
"324" "is" "be" "VBZ" "No entity"
"325" "a" "a" "DT" "No entity"
"326" "guanine" "guanine" "NNP" "No entity"
"327" "nucleotide" "nucleotide" "NNP" "No entity"
"328" "exchange" "exchange" "NN" "No entity"
"329" "factor" "factor" "NN" "No entity"
"330" "that" "that" "WDT" "No entity"
"331" "activates" "activate" "VBZ" "No entity"
"332" "Ras" "Ras" "NNP" "PERSON"
"333" "in" "in" "IN" "No entity"
"334" "response" "response" "NN" "No entity"
"335" "to" "to" "IN" "No entity"
"336" "growth" "growth" "NN" "No entity"
"337" "factor" "factor" "NN" "No entity"
"338" "stimulation" "stimulation" "NN" "No entity"
"339" "." "." "." "No entity"
"340" " " " " "_SP" "No entity"
"341" "Two" "two" "CD" "CARDINAL"
"342" "families" "family" "NNS" "No entity"
"343" "of" "of" "IN" "No entity"
"344" "Ras" "Ras" "NNP" "PERSON"
"345" "guanine" "guanine" "NNP" "No entity"
"346" "nucleotide" "nucleotide" "NNP" "No entity"
"347" "exchange" "exchange" "NN" "No entity"
"348" "factors" "factor" "NNS" "No entity"
"349" "(" "(" "-LRB-" "No entity"
"350" "RasGEFs" "RasGEFs" "NNP" "PRODUCT"
"351" ")" ")" "-RRB-" "No entity"
"352" "," "," "," "No entity"
"353" "SOS" "SOS" "NNP" "ORG"
"354" "and" "and" "CC" "No entity"
"355" "RasGRP" "rasgrp" "ADD" "No entity"
"356" "," "," "," "No entity"
"357" "activate" "activate" "NNP" "No entity"
"358" "Ras" "Ras" "NNP" "PERSON"
"359" "and" "and" "CC" "No entity"
"360" "the" "the" "DT" "No entity"
"361" "downstream" "downstream" "JJ" "No entity"
"362" "RAF" "RAF" "NNP" "No entity"
"363" "-" "-" "HYPH" "No entity"
"364" "MEK" "MEK" "NNP" "ORG"
"365" "-" "-" "HYPH" "No entity"
"366" "ERK" "ERK" "NNP" "ORG"
"367" "pathway" "pathway" "NN" "No entity"
"368" "." "." "." "No entity"
"369" " " " " "_SP" "No entity"
"370" "Resistance" "resistance" "NN" "ORG"
"371" "mechanisms" "mechanism" "NNS" "No entity"
"372" "are" "be" "VBP" "No entity"
"373" "identified" "identify" "VBN" "No entity"
"374" "in" "in" "IN" "No entity"
"375" "9/11" "9/11" "CD" "CARDINAL"
"376" "progressing" "progress" "VBG" "No entity"
"377" "tumours" "tumour" "NNS" "No entity"
"378" "and" "and" "CC" "No entity"
"379" "MAPK" "MAPK" "NNP" "PERSON"
"380" "reactivation" "reactivation" "NN" "No entity"
"381" "occurred" "occur" "VBD" "No entity"
"382" "in" "in" "IN" "No entity"
"383" "9/10" "9/10" "CD" "LAW"
"384" "tumours" "tumour" "NNS" "No entity"
"385" "," "," "," "No entity"
"386" "commonly" "commonly" "RB" "No entity"
"387" "via" "via" "IN" "No entity"
"388" "BRAF" "BRAF" "NNP" "ORG"
"389" "amplification" "amplification" "NN" "No entity"
"390" "and" "and" "CC" "No entity"
"391" "mutations" "mutation" "NNS" "No entity"
"392" "activating" "activate" "VBG" "No entity"
"393" "NRAS" "NRAS" "NNP" "ORG"
"394" "and" "and" "CC" "No entity"
"395" "MEK2" "MEK2" "NNP" "No entity"
"396" "." "." "." "No entity"
"397" " " " " "_SP" "No entity"
"398" "PLC" "PLC" "NNP" "ORG"
"399" "-" "-" "HYPH" "No entity"
"400" "gamma1" "gamma1" "NNP" "No entity"
"401" "has" "have" "VBZ" "No entity"
"402" "a" "a" "DT" "No entity"
"403" "DR6" "DR6" "NNP" "No entity"
"404" "VDRE" "vdre" "NN" "No entity"
"405" "in" "in" "IN" "No entity"
"406" "its" "-PRON-" "PRP$" "No entity"
"407" "promoter" "promoter" "NN" "No entity"
"408" "which" "which" "WDT" "No entity"
"409" "binds" "bind" "VBZ" "No entity"
"410" "and" "and" "CC" "No entity"
"411" "is" "be" "VBZ" "No entity"
"412" "activated" "activate" "VBN" "No entity"
"413" "by" "by" "IN" "No entity"
"414" "VDR" "VDR" "NNP" "ORG"
"415" "/" "/" "SYM" "No entity"
"416" "RAR" "rar" "NN" "No entity"
"417" "rather" "rather" "RB" "No entity"
"418" "than" "than" "IN" "No entity"
"419" "VDR" "VDR" "NNP" "ORG"
"420" "/" "/" "SYM" "No entity"
"421" "RXR" "RXR" "NNP" "ORG"
"422" "." "." "." "No entity"
"423" " " " " "_SP" "No entity"
"424" "Phenobarbital" "Phenobarbital" "NNP" "No entity"
"425" "(" "(" "-LRB-" "No entity"
"426" "PB" "PB" "NNP" "ORG"
"427" ")" ")" "-RRB-" "No entity"
"428" "increases" "increase" "VBZ" "No entity"
"429" "hepatic" "hepatic" "JJ" "No entity"
"430" "drug" "drug" "NN" "No entity"
"431" "/" "/" "SYM" "No entity"
"432" "steroid" "steroid" "NN" "No entity"
"433" "-" "-" "HYPH" "No entity"
"434" "metabolic" "metabolic" "JJ" "No entity"
"435" "capability" "capability" "NN" "No entity"
"436" "by" "by" "IN" "No entity"
"437" "coordinately" "coordinately" "RB" "No entity"
"438" "activating" "activate" "VBG" "No entity"
"439" "transcription" "transcription" "NN" "No entity"
"440" "of" "of" "IN" "No entity"
"441" "the" "the" "DT" "No entity"
"442" "genes" "gene" "NNS" "No entity"
"443" "encoding" "encode" "VBG" "No entity"
"444" "various" "various" "JJ" "No entity"
"445" "metabolizing" "metabolize" "VBG" "No entity"
"446" "enzymes" "enzyme" "NNS" "No entity"
"447" "." "." "." "No entity"
"448" " " " " "_SP" "No entity"
"449" "The" "the" "DT" "No entity"
"450" "nuclear" "nuclear" "JJ" "No entity"
"451" "receptor" "receptor" "NN" "No entity"
"452" "CAR" "CAR" "NNP" "ORG"
"453" "was" "be" "VBD" "No entity"
"454" "first" "first" "RB" "ORDINAL"
"455" "implicated" "implicate" "VBN" "No entity"
"456" "as" "as" "IN" "No entity"
"457" "a" "a" "DT" "No entity"
"458" "transcription" "transcription" "NN" "No entity"
"459" "factor" "factor" "NN" "No entity"
"460" "that" "that" "WDT" "No entity"
"461" "activates" "activate" "VBZ" "No entity"
"462" "the" "the" "DT" "No entity"
"463" "cytochrome" "cytochrome" "JJ" "No entity"
"464" "P450" "P450" "NNP" "No entity"
"465" "Cyp2b10" "cyp2b10" "JJ" "GPE"
"466" "gene" "gene" "NN" "No entity"
"467" "." "." "." "No entity"
"468" " " " " "_SP" "No entity"
"469" "We" "-PRON-" "PRP" "No entity"
"470" "have" "have" "VBP" "No entity"
"471" "examined" "examine" "VBN" "No entity"
"472" "the" "the" "DT" "No entity"
"473" "role" "role" "NN" "No entity"
"474" "of" "of" "IN" "No entity"
"475" "SHP" "SHP" "NNP" "ORG"
"476" "in" "in" "IN" "No entity"
"477" "CAR" "car" "NN" "ORG"
"478" "-" "-" "HYPH" "No entity"
"479" "mediated" "mediate" "VBN" "No entity"
"480" "transactivation" "transactivation" "NN" "No entity"
"481" "of" "of" "IN" "No entity"
"482" "the" "the" "DT" "No entity"
"483" "CYP2B" "CYP2B" "NNS" "PRODUCT"
"484" "gene" "gene" "NN" "No entity"
"485" "." "." "." "No entity"
"486" " " " " "_SP" "No entity"
"487" "SMRT" "SMRT" "NNP" "ORG"
"488" "and" "and" "CC" "No entity"
"489" "NCoR1" "NCoR1" "``" "No entity"
"490" "inhibited" "inhibit" "VBD" "No entity"
"491" "CAR" "CAR" "NNP" "ORG"
"492" "-" "-" "HYPH" "No entity"
"493" "mediated" "mediate" "VBN" "No entity"
"494" "activation" "activation" "NN" "No entity"
"495" "independent" "independent" "JJ" "No entity"
"496" "of" "of" "IN" "No entity"
"497" "SHP" "SHP" "NNP" "ORG"
"498" "," "," "," "No entity"
"499" "but" "but" "CC" "No entity"
"500" "mSin3A" "mSin3A" "NNP" "No entity"
"501" "and" "and" "CC" "No entity"
"502" "HDAC1" "HDAC1" "NNP" "GPE"
"503" "had" "have" "VBD" "No entity"
"504" "little" "little" "JJ" "No entity"
"505" "effect" "effect" "NN" "No entity"
"506" "alone" "alone" "RB" "No entity"
"507" "," "," "," "No entity"
"508" "and" "and" "CC" "No entity"
"509" "were" "be" "VBD" "No entity"
"510" "additive" "additive" "JJ" "No entity"
"511" "with" "with" "IN" "No entity"
"512" "SHP" "SHP" "NNP" "ORG"
"513" "." "." "." "No entity"
"514" " " " " "_SP" "No entity"
"515" "These" "these" "DT" "No entity"
"516" "studies" "study" "NNS" "No entity"
"517" "demonstrate" "demonstrate" "VBP" "No entity"
"518" "that" "that" "IN" "No entity"
"519" "SHP" "SHP" "NNP" "ORG"
"520" "does" "do" "VBZ" "No entity"
"521" "not" "not" "RB" "No entity"
"522" "inhibit" "inhibit" "VB" "No entity"
"523" "CAR" "car" "NN" "ORG"
"524" "-" "-" "HYPH" "No entity"
"525" "mediated" "mediate" "VBN" "No entity"
"526" "trans" "trans" "NN" "No entity"
"527" "-" "-" "NN" "No entity"
"528" "activation" "activation" "NN" "No entity"
"529" "by" "by" "IN" "No entity"
"530" "interfering" "interfere" "VBG" "No entity"
"531" "with" "with" "IN" "No entity"
"532" "DNA" "dna" "NN" "No entity"
"533" "binding" "binding" "NN" "No entity"
"534" "or" "or" "CC" "No entity"
"535" "by" "by" "IN" "No entity"
"536" "competition" "competition" "NN" "No entity"
"537" "with" "with" "IN" "No entity"
"538" "GRIP1" "GRIP1" "NNS" "No entity"
"539" "." "." "." "No entity"
"540" " " " " "_SP" "No entity"
"541" "FXR" "FXR" "NNP" "ORG"
"542" "/" "/" "SYM" "No entity"
"543" "RXR" "RXR" "NNP" "ORG"
"544" "heterodimers" "heterodimer" "NNS" "No entity"
"545" "bound" "bind" "VBN" "No entity"
"546" "to" "to" "IN" "No entity"
"547" "IR1" "ir1" "JJ" "ORG"
"548" "elements" "element" "NNS" "No entity"
"549" "and" "and" "CC" "No entity"
"550" "enhanced" "enhance" "VBN" "No entity"
"551" "bile" "bile" "NN" "No entity"
"552" "acid" "acid" "NNP" "No entity"
"553" "transcriptional" "transcriptional" "JJ" "No entity"
"554" "activation" "activation" "NN" "No entity"
"555" "of" "of" "IN" "No entity"
"556" "the" "the" "DT" "No entity"
"557" "mouse" "mouse" "NN" "No entity"
"558" "and" "and" "CC" "No entity"
"559" "human" "human" "JJ" "No entity"
"560" "BSEP" "BSEP" "NNP" "ORG"
"561" "/" "/" "SYM" "No entity"
"562" "SPGP" "SPGP" "NNP" "No entity"
"563" "promoters" "promoter" "NNS" "No entity"
"564" "." "." "." "No entity"
"565" " " " " "_SP" "No entity"
"566" "Moreover" "moreover" "RB" "No entity"
"567" "," "," "," "No entity"
"568" "the" "the" "DT" "No entity"
"569" "hepatoprotective" "hepatoprotective" "NNP" "No entity"
"570" "bile" "bile" "NN" "No entity"
"571" "acid" "acid" "NNP" "No entity"
"572" "ursodeoxycholic" "ursodeoxycholic" "JJ" "No entity"
"573" "acid" "acid" "NNP" "No entity"
"574" "," "," "," "No entity"
"575" "which" "which" "WDT" "No entity"
"576" "reverses" "reverse" "VBZ" "No entity"
"577" "hydrophobic" "hydrophobic" "NNP" "No entity"
"578" "bile" "bile" "NN" "No entity"
"579" "acid" "acid" "NNP" "No entity"
"580" "hepatotoxicity" "hepatotoxicity" "NNP" "No entity"
"581" "," "," "," "No entity"
"582" "activates" "activate" "VBZ" "No entity"
"583" "PXR" "PXR" "NNP" "ORG"
"584" "and" "and" "CC" "No entity"
"585" "efficaciously" "efficaciously" "RB" "No entity"
"586" "induces" "induce" "VBZ" "No entity"
"587" "CYP3A4" "CYP3A4" "NNP" "No entity"
"588" "(" "(" "-LRB-" "No entity"
"589" "a" "a" "DT" "No entity"
"590" "bile" "bile" "NN" "No entity"
"591" "-" "-" "HYPH" "No entity"
"592" "metabolizing" "metabolize" "VBG" "No entity"
"593" "enzyme" "enzyme" "NNS" "No entity"
"594" ")" ")" "-RRB-" "No entity"
"595" "in" "in" "IN" "No entity"
"596" "primary" "primary" "JJ" "No entity"
"597" "human" "human" "JJ" "No entity"
"598" "hepatocytes" "hepatocyte" "NNS" "No entity"
"599" "thus" "thus" "RB" "No entity"
"600" "providing" "provide" "VBG" "No entity"
"601" "one" "one" "CD" "CARDINAL"
"602" "mechanism" "mechanism" "NN" "No entity"
"603" "for" "for" "IN" "No entity"
"604" "its" "-PRON-" "PRP$" "No entity"
"605" "hepatoprotection" "hepatoprotection" "NN" "No entity"
"606" "." "." "." "No entity"
"607" " " " " "_SP" "No entity"
"608" "Experiments" "experiment" "NNS" "No entity"
"609" "in" "in" "IN" "No entity"
"610" "COS-7" "cos-7" "NN" "No entity"
"611" "cells" "cell" "NNS" "No entity"
"612" "showed" "show" "VBD" "No entity"
"613" "that" "that" "IN" "No entity"
"614" "HNF4" "HNF4" "NNP" "No entity"
"615" "could" "could" "MD" "No entity"
"616" "activate" "activate" "VB" "No entity"
"617" "the" "the" "DT" "No entity"
"618" "CYP2D6" "CYP2D6" "NNP" "No entity"
"619" "promoter" "promoter" "NN" "No entity"
"620" "30-fold" "30-fold" "CD" "No entity"
"621" "." "." "." "No entity"
"622" " " " " "_SP" "No entity"
"623" "Although" "although" "IN" "No entity"
"624" "many" "many" "JJ" "No entity"
"625" "PGs" "pg" "NNS" "ORG"
"626" "are" "be" "VBP" "No entity"
"627" "secreted" "secrete" "VBN" "No entity"
"628" "," "," "," "No entity"
"629" "PGI2" "PGI2" "NNP" "No entity"
"630" "and" "and" "CC" "No entity"
"631" "PGJ2" "PGJ2" "NNP" "No entity"
"632" "can" "can" "MD" "No entity"
"633" "activate" "activate" "VB" "No entity"
"634" "nuclear" "nuclear" "JJ" "No entity"
"635" "peroxisome" "peroxisome" "NN" "No entity"
"636" "proliferator" "proliferator" "NN" "No entity"
"637" "activator" "activator" "NN" "No entity"
"638" "receptors" "receptor" "NNS" "No entity"
"639" "(" "(" "-LRB-" "No entity"
"640" "PPARs" "PPARs" "NNP" "PERSON"
"641" ")" ")" "-RRB-" "No entity"
"642" "that" "that" "WDT" "No entity"
